"Supplier","Product Name"," Name","Type of Furnature","On or Off in Inventory","Description","Parameters / Features","Max % AOJ","FFE Option","Max Qty","Price","Daily PMT","Aggregate Gross","Aggregate Net","Other"
"","ADA-221","Sample Name","Furnature","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","100%","10%",""," $ 20,000,000 ","","","",""
"","AES","Sample Name","Electronic","Off","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","100%","10%",""," $ 20,000,000 ","","","",""
"","EADSS","Sample Name","Appliance","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","100%","10%",""," $ 20,000,000 ","","","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","100%","10%",""," $ 20,000,000 ","","","",""
"","WENDI","Sample Name","Furnature","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","100%","10%",""," $ 20,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","100%","10%",""," $ 20,000,000 ","","","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","100%","10%",""," $ 20,000,000 ","","","",""
"","EADSS","Sample Name","Appliance","Off","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","100%","10%",""," $ 20,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","100%","10%",""," $ 20,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","100%","10%",""," $ 20,000,000 ","","","",""
"","AES","Sample Name","Furniture","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","100%","3%",""," $ 5,000,000 ","","","",""
"Ethan Allen","EADSS","Sample Name","Furniture","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","AES","Sample Name","Furniture","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","EADSS","Sample Name","Furniture","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","Off","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","AES","Sample Name","Furniture","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","EADSS","Sample Name","Furniture","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","Off","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","AES","Sample Name","Furniture","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","EADSS","Sample Name","Furniture","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","OIP-SS","Sample Name","Electronic","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","WENDI","Sample Name","Electronic","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","ADA-221","Sample Name","Electronic","On"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","AES","Sample Name","Furniture","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","Vs 90 day ADV
100%","<50% away from the inside","  3,000,000 "," $ 75,000,000 ","","","",""
"","EADSS","Sample Name","Furniture","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","Vs 90 day ADV
U.S.: 75%
","U.S.: <25% away from the inside
Canada: 25%","U.S.: 1,000,000","U.S.: $75,000,000","","Canada: $100,000,000","","Canada
MTM Limit: $2,000,000
FX Settlement Limit: $1,000,000"
"Mobilia","OIP-SS","Sample Name","Electronic","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Electronic","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Electronic",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Furniture","","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Furniture","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Appliance","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Appliance","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Furnature",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Electronic","","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Appliance","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Appliance","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Furnature","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Electronic",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Appliance","","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Appliance","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Furnature","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Electronic","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Appliance",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Appliance","","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Furnature","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Electronic","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Appliance","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Appliance",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"","AES","Sample Name","Furnature","","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","","","","",""
"","EADSS","Sample Name","Electronic","","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","","","","",""
"","OIP-SS","Sample Name","Appliance","","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","","","","","","","",""
"","WENDI","Sample Name","Appliance","","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","","","","",""
"","ADA-221","Sample Name","Furnature",""," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","","","","",""
"Modern Furni","AES","Sample Name","Electronic","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","","","","",""," $ 250,000,000 ","",""
"","EADSS","Sample Name","Appliance","On","The black platinum bundle is the top-of-the-line cable and cleaning package from the renowned audio-visual company. Featuring a nine-foot HDMI cable with performance indicator, a power bar with two USB ports","Black Platinum PowerCenter
Nine-Foot Black Platinum HDMI Cable
60 millilitre ScreenClean™
60 millilitre CleanTouch®","","","","",""," $ 250,000,000 ","",""
"","OIP-SS","Sample Name","Appliance","On","Air-X® panels run along the edge to help remove excess heat during the night, while the Dri-Tec® fabric wicks away sweat to keep you dry.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels","50%","20%","  1,000,000 "," $ 50,000,000 ",""," $ 250,000,000 ","",""
"","WENDI","Sample Name","Furnature","On","Combined with silk-feel fibres, this fill is hypoallergenic, breathable and soft. Resilient but not resistant, the Boost foam blend has excellent conforming qualities while providing dynamic, smooth motion performance to eliminate pillow bounce and help ensure deep sleep.","Ver-Tex® Strike Zone
Dri-Tec Fabric
Air-X Ventilated Panels
Boost Foam Blend","","","","",""," $ 250,000,000 ","",""
"","ADA-221","Sample Name","Electronic","Off"," Able to process emerging 4K content, this machine makes every scene perfect with immersive high-resolution images. Built-in Wi-Fi connects with your wireless router to access popular sites like YouTube or Netflix in 4K UHD resolution.","4K Disc Player
Multi HDR
4K Streaming
Blu-ray/DVD/CD Playback","","","","",""," $ 250,000,000 ","",""
"","AES","Sample Name","Appliance","On","The newly redesigned smart hub takes smart TV performance to a higher level. With fast boot times and quick access to live TV, all your content sources and apps, finding entertainment is intuitive – and you only need one remote to control it all.","RGB 3840 X 2160 4K Ultra High-Definition
4200 Radius Screen Curvature (55"", 65"")
3000 Radius Screen Curvature (49"")
Auto Depth Enhancer
UHD Upscaling","5000%","20%","  1,000,000 "," $ 50,000,000 ",""," $ 250,000,000 ","",""
